"month","CPI"
169,102.55
170,100.8
171,100.92
172,101.17
173,101.52
174,101.5
175,101.41
176,101.77
177,101.63
178,101.87
179,101.73
180,101.85
181,101.47
182,102.9
183,102.06
184,101.8
185,101.75
186,101.85
187,102.06
188,102.3
189,102.47
190,102.54
191,102.18
192,101.86
193,101.74
194,101.49
195,102.28
196,102.54
197,102.74
198,102.68
